DAY,9.00 am To 10.30 am,,10.45 am To 12.15 pm,,12.30 pm to 2.00 pm,,2.30 pm To 4.00 pm
,,,,,,,
MONDAY,"Organizational Behaviour -
Kavita Singh",,"Accounting for Managers - 
Anjala Kalsie",,"Accounting for Managers - 
Anjala Kalsie",,"Data Analysis & Decision Tools - 
 D. Das"
,https://zoom.us/j/91970064471,,https://zoom.us/j/94494452166,,https://zoom.us/j/94494452166,,https://zoom.us/j/98099250467
,,,,,,,
TUESDAY,"Information Technology Management - 
 M. L. Singla",,Marketing Management - Anupama Vohra,,Marketing Management - Anupama Vohra,,
,https://zoom.us/j/94588813401,,https://zoom.us/j/98558085860,,https://zoom.us/j/98558085860,,
,,,,,,,
WEDNESDAY,,,Human Resources Management  - Tanuja Agrawala,,Human Resources Management  - Tanuja Agrawala,,Organizational Behaviour 
,,,https://zoom.us/j/96531405684,,https://zoom.us/j/96531405684,,https://zoom.us/j/93530555880
,,,,,,,
THURSDAY,Managerial Economics - Soma Dey,,Managerial Economics - Soma Dey,,"Information Technology Management 
- Sanjiva Dubey",,
,https://zoom.us/j/93492376101,,https://zoom.us/j/93492376101,,https://zoom.us/j/98582093877,,
,,,,,,,
FRIDAY ,"Data Analysis & Decision Tools(Joint Class) - 
Pankaj Sinha",,,,"Business Communication - 
Mahima Thakur",,"Business Communication - 
Mahima Thakur"
,https://zoom.us/j/94734581354,,,,https://zoom.us/j/94736737764,,https://zoom.us/j/94736737764